mrp;price;product_category;rating;review_count;Nylon;Rayon;Spandex;polyester;Cotton;Modal;Elastane
60.00 ;48.00 ;Bras;4.5;773;82;0;18;0;0;0;0
65.00 ;44.48 ;Bras;4.2;114;0;0;10;90;0;0;0
41.00 ;41.00 ;Panties;3.9;47;100;0;0;0;0;0;0
65.00 ;65.00 ;Bras;4.3;1894;80;0;20;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;85;0;15;0;0;0;0
50.00 ;47.00 ;Bras;4.3;414;41;0;11;48;0;0;0
27.00 ;27.00 ;Panties;4.3;95;41;0;11;48;0;0;0
50.00 ;47.00 ;Bras;4.3;414;54;0;13;33;0;0;0
38.00 ;38.00 ;Bras;4.3;382;86;0;14;0;0;0;0
46.00 ;46.00 ;Bras;4.4;291;87;0;13;0;0;0;0
60.00 ;39.99 ;Bras;4.4;772;100;0;0;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
38.00 ;28.50 ;Bras;3.8;32;71;0;0;0;0;0;29.5
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
36.00 ;29.99 ;Bras;4.6;68;72;0;0;0;0;0;28
60.00 ;39.99 ;Bras;4.5;773;100;0;0;0;0;0;0
50.00 ;50.00 ;Bras;4.3;414;54;0;13;33;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
60.00 ;48.00 ;Bras;4.4;772;100;0;0;0;0;0;0
46.00 ;46.00 ;Bras;4.3;191;82;0;18;0;0;0;0
38.00 ;21.89 ;Bras;4.3;382;86;0;14;0;0;0;0
55.00 ;23.73 ;Bras;4.3;605;0;0;15;85;0;0;0
22.00 ;15.91 ;Panties;4.2;19;0;0;0;0;92;0;8
50.00 ;36.99 ;Bras;4.2;972;85;0;15;0;0;0;0
20.00 ;20.00 ;Panties;4.7;532;0;0;0;0;53;35;12
46.00 ;40.48 ;Bras;4.3;488;71;0;29;0;0;0;0
