mrp,price,product_category,rating,review_count,Nylon,Rayon,Spandex,polyester,Cotton,Modal,Elastane,Classe
48.0,28.49,Bras,4.3,398,82,0,18,0,0,0,0.0,1
64.99,64.99,Bras,4.2,158,81,0,19,0,0,0,0.0,1
72.0,52.5,Bras,3.8,105,72,0,28,0,0,0,0.0,1
46.0,46.0,Bras,4.3,488,72,0,0,0,0,0,28.0,0
22.0,15.93,Panties,4.2,19,0,0,0,0,92,0,8.0,0
65.0,46.0,Bras,4.4,1163,80,0,20,0,0,0,0.0,1
68.0,44.43,Bras,4.2,96,70,0,30,0,0,0,0.0,1
46.0,31.99,Bras,4.3,488,72,0,0,0,0,0,28.0,0
49.95,49.95,Bras,4.2,96,70,0,30,0,0,0,0.0,1
44.0,44.0,Panties,4.6,105,0,0,0,0,53,35,12.0,0
49.96,49.96,Bras,4.2,972,85,0,15,0,0,0,0.0,1
65.0,44.75,Bras,4.2,114,0,0,10,90,0,0,0.0,1
32.0,32.0,Bras,3.9,93,0,0,0,0,92,0,8.0,0
47.99,47.99,Bras,4.4,772,100,0,0,0,0,0,0.0,1
22.0,15.47,Panties,4.4,405,0,0,12,0,53,35,0.0,0
27.0,27.0,Panties,4.3,95,82,0,18,0,0,0,0.0,0
59.43,59.43,Bras,4.3,414,41,0,11,48,0,0,0.0,1
22.0,19.49,Panties,4.4,405,0,0,0,0,53,35,12.0,0
48.0,29.17,Bras,4.3,398,82,0,18,0,0,0,0.0,1
65.0,46.56,Bras,4.2,114,0,0,10,90,0,0,0.0,1
22.0,17.46,Panties,4.2,19,0,0,0,0,92,0,8.0,0
65.0,61.28,Bras,4.2,114,0,0,10,90,0,0,0.0,1
68.0,47.6,Bras,4.2,250,80,0,20,0,0,0,0.0,1
49.0,40.82,Panties,4.3,429,0,0,0,0,95,0,5.0,0
65.0,65.0,Bras,4.4,314,0,0,0,100,0,0,0.0,1
63.05,63.05,Bras,4.3,1894,80,0,20,0,0,0,0.0,1
50.0,47.0,Bras,4.3,414,54,0,13,33,0,0,0.0,1
65.0,51.77,Bras,4.2,114,0,0,10,90,0,0,0.0,1
50.0,50.0,Bras,4.1,484,0,0,0,100,0,0,0.0,1
38.5,38.5,Panties,4.3,429,0,0,0,0,95,0,5.0,0
65.0,37.17,Bras,4.2,114,0,0,10,90,0,0,0.0,1
33.0,23.13,Panties,4.0,95,72,0,0,0,0,0,28.0,0
59.96,59.96,Bras,4.4,772,82,0,18,0,0,0,0.0,1
39.88,39.88,Bras,4.4,772,100,0,0,0,0,0,0.0,1
60.0,39.99,Bras,4.5,773,100,0,0,0,0,0,0.0,1
48.0,48.0,Bras,4.5,773,100,0,0,0,0,0,0.0,1
60.0,48.0,Bras,4.4,772,82,0,18,0,0,0,0.0,1
43.98,43.98,Bras,4.1,16,79,0,0,0,0,0,21.5,0
54.0,54.0,Bras,3.8,105,72,0,28,0,0,0,0.0,1
54.99,54.99,Bras,4.3,398,82,0,18,0,0,0,0.0,1
33.0,33.0,Panties,4.7,460,0,0,0,0,90,0,10.0,0
38.0,33.62,Bras,4.5,26,79,0,0,0,0,0,21.0,0
68.0,49.89,Bras,4.2,96,70,0,30,0,0,0,0.0,1
65.0,45.99,Bras,4.2,114,0,0,10,90,0,0,0.0,1
60.0,54.97,Bras,4.4,772,82,0,18,0,0,0,0.0,1
44.0,39.6,Bras,4.1,16,79,0,0,0,0,0,21.5,0
65.0,42.48,Bras,4.2,114,0,0,10,90,0,0,0.0,1
