mrp,price,product_category,rating,review_count,Silk,Cotton,Modal,Nylon,Rayon,Spandex,Elastane,polyester,Viscose,Polyurethane,Classe
34.0,34.0,Collections,0.0,0,0,0,95,0.0,0,5.0,0,0,0,0,1
68.0,68.0,Lingerie,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
34.0,34.0,Lingerie,0.0,0,0,0,0,0.0,95,5.0,0,0,0,0,1
34.0,34.0,Panties,0.0,0,0,0,95,0.0,0,5.0,0,0,0,0,1
165.0,165.0,Collections,0.0,0,100,0,0,0.0,0,0.0,0,0,0,0,1
52.0,52.0,Lingerie,0.0,0,0,0,0,0.0,95,5.0,0,0,0,0,1
34.0,34.0,Collections,0.0,0,0,96,0,0.0,0,4.0,0,0,0,0,1
56.0,56.0,Bras-and-tops,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
72.0,72.0,Bras-and-tops,0.0,0,0,0,0,75.0,25,0.0,0,0,0,0,0
69.0,69.0,Lingerie,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
68.0,68.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
68.0,68.0,Collections,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
69.0,69.0,Collections,0.0,0,100,0,0,0.0,0,0.0,0,0,0,0,1
64.0,64.0,Collections,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
90.0,90.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
23.0,23.0,Collections,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
140.0,140.0,Lingerie,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
72.0,72.0,Collections,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
25.0,25.0,Thongs,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
90.0,90.0,Thongs,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
34.0,34.0,Panties,0.0,0,0,96,0,0.0,0,4.0,0,0,0,0,1
25.0,25.0,Collections,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
26.0,26.0,Thongs,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
32.0,32.0,Panties,0.0,0,0,0,95,0.0,0,5.0,0,0,0,0,1
106.0,106.0,Lingerie,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
79.0,79.0,Bras-and-tops,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
59.0,59.0,Collections,0.0,0,100,0,0,0.0,0,0.0,0,0,0,0,1
42.0,42.0,Panties,0.0,0,0,0,0,0.0,90,10.0,0,0,0,0,1
37.0,37.0,Collections,0.0,0,0,96,0,0.0,0,4.0,0,0,0,0,1
116.0,116.0,Lingerie,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
98.0,98.0,Lingerie,0.0,0,0,0,0,0.0,95,5.0,0,0,0,0,1
25.0,25.0,Collections,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
165.0,165.0,Lingerie,0.0,0,100,0,0,0.0,0,0.0,0,0,0,0,1
69.0,69.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
22.0,22.0,Collections,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
35.0,35.0,Panties,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
36.0,36.0,Panties,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
26.0,26.0,Collections,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
68.0,68.0,Collections,0.0,0,0,0,0,60.0,12,10.0,0,18,0,0,0
42.0,42.0,Collections,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
36.0,36.0,Panties,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
45.0,45.0,Lingerie,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
22.0,22.0,Thongs,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
36.0,36.0,Collections,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
25.0,25.0,Collections,0.0,0,0,0,0,87.0,0,13.0,0,0,0,0,0
35.0,35.0,Collections,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
116.0,116.0,Collections,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
186.0,186.0,Collections,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
30.0,30.0,Collections,0.0,0,0,0,0,82.0,6,12.0,0,0,0,0,0
114.0,114.0,Collections,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
56.0,56.0,Collections,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
32.0,32.0,Collections,0.0,0,0,0,95,0.0,0,5.0,0,0,0,0,1
42.0,42.0,Collections,0.0,0,0,0,0,0.0,90,10.0,0,0,0,0,1
63.0,63.0,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
110.0,110.0,Lingerie,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
158.0,158.0,Lingerie,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
47.0,31.99,Panties,0.0,0,0,0,0,79.0,0,21.0,0,0,0,0,0
56.0,56.0,Collections,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
39.0,39.0,Panties,0.0,0,0,96,0,0.0,0,4.0,0,0,0,0,1
68.0,68.0,Panties,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
28.0,28.0,Thongs,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
46.0,46.0,Panties,0.0,0,0,0,0,60.0,12,10.0,0,18,0,0,0
30.0,30.0,Thongs,0.0,0,0,0,0,60.0,12,10.0,0,18,0,0,0
72.0,72.0,Bras-and-tops,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
50.0,50.0,Panties,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
69.0,69.0,Bras-and-tops,0.0,0,100,0,0,0.0,0,0.0,0,0,0,0,1
33.0,33.0,Thongs,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
42.0,42.0,Thongs,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
53.0,53.0,Panties,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
186.0,186.0,Bras-and-tops,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
64.0,64.0,Bras-and-tops,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
186.0,186.0,Lingerie,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
50.0,50.0,Bras-and-tops,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
112.0,112.0,Lingerie,0.0,0,0,0,0,82.0,0,18.0,0,0,0,0,0
59.0,59.0,Panties,0.0,0,100,0,0,0.0,0,0.0,0,0,0,0,1
69.0,69.0,Collections,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
89.0,58.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
39.0,26.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
89.0,58.99,Lingerie,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
89.0,58.99,Bras-and-tops,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
50.0,50.0,Bras-and-tops,0.0,0,0,0,0,0.0,0,0.0,0,100,0,0,1
53.0,31.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
34.0,20.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
24.0,14.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
34.0,20.99,Panties,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
50.0,50.0,Collections,0.0,0,0,0,0,0.0,0,0.0,0,100,0,0,1
38.0,22.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
47.0,31.99,Panties,5.0,1,0,0,0,79.0,0,21.0,0,0,0,0,0
102.0,61.99,Collections,0.0,0,0,0,0,91.0,0,9.0,0,0,0,0,0
39.0,25.99,Collections,0.0,0,0,0,0,0.0,0,0.0,0,100,0,0,1
38.0,22.99,Panties,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
24.0,14.99,Collections,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
25.0,16.99,Collections,0.0,0,0,0,0,100.0,0,0.0,0,0,0,0,0
54.0,54.0,Collections,3.0,1,0,0,0,88.0,0,12.0,0,0,0,0,0
78.0,78.0,Bras-and-tops,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
66.0,66.0,Bras-and-tops,0.0,0,0,0,0,87.0,0,13.0,0,0,0,0,0
78.0,78.0,Collections,0.0,0,0,0,0,72.0,0,28.0,0,0,0,0,0
66.0,66.0,Collections,0.0,0,0,0,0,90.0,0,10.0,0,0,0,0,0
66.0,66.0,Bras-and-tops,0.0,0,0,0,0,0.0,0,0.0,0,100,0,0,1
66.0,66.0,Collections,0.0,0,0,0,0,0.0,0,0.0,0,100,0,0,1
66.0,66.0,Collections,0.0,0,0,0,0,87.0,0,13.0,0,0,0,0,0
60.0,60.0,Collections,0.0,0,0,0,0,87.0,0,13.0,0,0,0,0,0
69.0,69.0,Collections,0.0,0,0,100,0,0.0,0,0.0,0,0,0,0,1
