mrp,price,product_category,rating,review_count,Nylon,Rayon,Spandex,polyester,Cotton,Modal,Elastane,Classe
72.0,44.99,1,3.8,105,72,0,28,0,0,0,0.0,1
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
50.0,47.0,1,4.2,972,85,0,15,0,0,0,0.0,1
60.0,51.52,1,4.2,158,81,0,19,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
60.0,39.99,1,4.5,773,100,0,0,0,0,0,0.0,1
27.0,14.99,0,4.3,95,41,0,11,48,0,0,0.0,0
27.0,27.0,0,4.3,95,82,0,18,0,0,0,0.0,0
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
72.0,50.4,1,3.8,105,72,0,28,0,0,0,0.0,1
36.0,27.0,1,4.6,68,72,0,0,0,0,0,28.0,0
38.0,28.5,1,3.8,32,71,0,0,0,0,0,29.5,0
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
60.0,44.99,1,4.2,158,81,0,19,0,0,0,0.0,1
36.0,27.0,1,4.6,68,72,0,0,0,0,0,28.0,0
46.0,46.0,1,4.4,291,87,0,13,0,0,0,0.0,1
44.95,44.95,1,4.2,114,0,0,10,90,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
60.0,55.0,1,4.4,772,82,0,18,0,0,0,0.0,1
65.0,39.94,1,4.2,114,0,0,10,90,0,0,0.0,1
46.0,46.0,1,4.4,291,100,0,0,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
20.0,20.0,0,4.7,532,0,0,0,0,53,35,12.0,0
38.0,33.63,1,4.5,26,79,0,0,0,0,0,21.0,0
44.0,44.0,1,4.1,16,79,0,0,0,0,0,21.5,0
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
44.0,44.0,1,4.1,16,79,0,0,0,0,0,21.5,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
38.0,38.0,1,4.3,382,86,0,14,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
72.0,50.4,1,3.8,105,72,0,28,0,0,0,0.0,1
59.99,59.99,1,4.4,772,82,0,18,0,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
68.0,40.0,1,4.2,96,70,0,30,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
38.0,33.63,1,3.8,32,71,0,0,0,0,0,29.5,0
65.0,30.99,1,4.2,114,0,0,10,90,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
44.0,44.0,1,4.3,39,0,0,0,0,53,35,12.0,0
38.0,33.63,1,4.5,26,79,0,0,0,0,0,21.0,0
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
29.0,29.0,0,4.3,429,0,0,0,0,95,0,5.0,0
65.0,65.0,1,3.8,105,72,0,28,0,0,0,0.0,1
48.0,42.0,1,4.3,398,82,0,18,0,0,0,0.0,1
21.9,21.9,0,4.8,6,43,0,9,48,0,0,0.0,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
38.0,28.5,1,4.5,26,79,0,0,0,0,0,21.0,0
38.0,21.89,1,4.3,382,86,0,14,0,0,0,0.0,1
33.0,33.0,0,4.0,15,72,0,0,0,0,0,28.0,0
49.99,49.99,1,4.3,414,41,0,11,48,0,0,0.0,1
33.0,19.8,0,4.2,16,0,0,0,0,95,0,5.0,0
36.0,29.84,1,4.6,68,72,0,0,0,0,0,28.0,0
27.0,14.99,0,4.3,95,41,0,11,48,0,0,0.0,0
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
48.0,34.95,1,4.3,398,82,0,18,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
48.0,48.0,1,4.5,773,100,0,0,0,0,0,0.0,1
33.63,33.63,1,4.5,26,79,0,0,0,0,0,21.0,0
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
50.0,47.0,1,4.3,414,54,0,13,33,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
50.0,25.99,1,4.3,414,41,0,11,48,0,0,0.0,1
46.0,46.0,1,4.3,191,82,0,18,0,0,0,0.0,1
38.0,25.99,1,4.5,26,79,0,0,0,0,0,21.0,0
68.0,47.4,1,4.2,250,80,0,20,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
65.0,30.55,1,4.3,1894,80,0,20,0,0,0,0.0,1
21.41,21.41,0,4.3,429,0,0,0,0,95,0,5.0,0
20.0,15.0,0,4.7,532,0,0,0,0,53,35,12.0,0
60.0,60.0,1,4.2,158,81,0,19,0,0,0,0.0,1
44.0,44.0,1,4.0,29,88,0,12,0,0,0,0.0,1
60.0,60.0,1,4.2,158,81,0,19,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
60.0,60.0,1,4.2,158,81,0,19,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
33.0,33.0,0,4.0,95,72,0,0,0,0,0,28.0,0
60.0,39.99,1,4.5,773,100,0,0,0,0,0,0.0,1
60.0,60.0,1,4.2,158,81,0,19,0,0,0,0.0,1
72.0,49.99,1,3.8,105,72,0,28,0,0,0,0.0,1
44.0,44.0,1,4.0,29,88,0,12,0,0,0,0.0,1
65.0,62.0,1,4.4,841,91,0,9,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
33.0,19.8,0,4.2,16,0,0,0,0,95,0,5.0,0
38.0,33.63,1,3.8,32,71,0,0,0,0,0,29.5,0
46.0,34.5,1,4.3,488,71,0,29,0,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
38.0,21.89,1,4.3,382,86,0,14,0,0,0,0.0,1
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
44.0,44.0,1,4.1,16,79,0,0,0,0,0,21.5,0
68.0,68.0,1,4.2,250,80,0,20,0,0,0,0.0,1
12.0,12.0,0,4.5,99,82,0,0,0,0,0,18.0,0
60.0,48.0,1,4.5,773,100,0,0,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
33.0,33.0,0,4.0,15,72,0,0,0,0,0,28.0,0
65.0,65.0,1,4.4,1163,85,0,15,0,0,0,0.0,1
27.0,23.99,0,3.9,47,100,0,0,0,0,0,0.0,0
38.0,38.0,1,4.3,382,86,0,14,0,0,0,0.0,1
50.0,47.0,1,4.3,414,41,0,11,48,0,0,0.0,1
44.0,44.0,1,4.0,29,88,0,12,0,0,0,0.0,1
38.0,38.0,1,4.3,382,86,0,14,0,0,0,0.0,1
48.0,32.96,1,4.3,398,82,0,18,0,0,0,0.0,1
36.0,25.99,1,4.6,68,72,0,0,0,0,0,28.0,0
36.0,27.0,1,4.6,68,72,0,0,0,0,0,28.0,0
37.95,37.95,1,4.3,382,86,0,14,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
22.0,18.07,0,4.2,19,0,0,0,0,92,0,8.0,0
68.0,39.0,1,4.2,96,70,0,30,0,0,0,0.0,1
28.5,28.5,1,4.5,26,79,0,0,0,0,0,21.0,0
45.99,45.99,1,4.4,291,76,0,24,0,0,0,0.0,1
19.99,19.99,0,4.7,532,0,0,0,0,53,35,12.0,0
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
39.0,39.0,0,4.1,60,88,0,0,0,0,0,12.0,0
33.0,22.99,0,4.0,95,75,0,0,0,0,0,25.0,0
44.0,44.0,1,4.0,29,88,0,12,0,0,0,0.0,1
65.0,65.0,1,4.4,314,0,0,0,100,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
36.0,32.05,1,4.6,68,72,0,0,0,0,0,28.0,0
44.0,44.0,0,4.6,105,0,0,0,0,53,35,12.0,0
60.0,49.95,1,4.5,773,100,0,0,0,0,0,0.0,1
36.48,36.48,1,3.8,32,71,0,0,0,0,0,29.5,0
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
65.0,44.93,1,4.2,114,0,0,10,90,0,0,0.0,1
68.0,68.0,1,4.2,250,80,0,20,0,0,0,0.0,1
60.0,48.0,1,4.4,772,82,0,18,0,0,0,0.0,1
22.0,17.48,0,4.2,19,0,0,0,0,92,0,8.0,0
38.0,30.56,1,4.3,382,86,0,14,0,0,0,0.0,1
36.0,36.0,1,4.6,68,72,0,0,0,0,0,28.0,0
38.0,38.0,1,4.3,382,86,0,14,0,0,0,0.0,1
60.0,39.99,1,4.5,773,100,0,0,0,0,0,0.0,1
68.0,38.08,1,4.2,96,70,0,30,0,0,0,0.0,1
68.0,68.0,1,4.2,250,80,0,20,0,0,0,0.0,1
60.0,60.0,1,4.4,772,100,0,0,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
20.0,17.18,0,4.7,532,0,0,0,0,53,35,12.0,0
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
26.98,26.98,0,3.9,47,100,0,0,0,0,0,0.0,0
68.0,68.0,1,4.2,250,80,0,20,0,0,0,0.0,1
18.0,18.0,1,4.0,518,89,0,11,0,0,0,0.0,0
39.0,39.0,0,4.1,60,88,0,0,0,0,0,12.0,0
66.23,66.23,1,3.7,62,58,0,42,0,0,0,0.0,1
34.0,34.0,1,4.4,122,95,0,5,0,0,0,0.0,1
38.0,28.5,1,3.8,32,71,0,0,0,0,0,29.5,0
38.0,23.26,1,4.5,26,79,0,0,0,0,0,21.0,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
38.0,25.99,1,4.3,382,86,0,14,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
68.0,46.28,1,4.2,96,70,0,30,0,0,0,0.0,1
60.0,60.0,1,4.4,772,82,0,18,0,0,0,0.0,1
27.0,25.0,0,3.9,47,100,0,0,0,0,0,0.0,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
33.0,29.7,0,4.4,3,0,0,0,0,90,0,10.0,0
38.0,26.54,1,4.3,382,86,0,14,0,0,0,0.0,1
60.0,60.0,1,4.4,772,82,0,18,0,0,0,0.0,1
38.0,38.0,1,4.3,382,100,0,0,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
38.0,25.2,1,4.3,382,86,0,14,0,0,0,0.0,1
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
36.0,36.0,1,4.6,68,72,0,0,0,0,0,28.0,0
27.0,27.0,0,4.3,95,41,0,11,48,0,0,0.0,0
33.0,22.99,0,4.0,95,75,0,0,0,0,0,25.0,0
46.0,46.0,1,4.3,191,82,0,18,0,0,0,0.0,1
68.0,68.0,1,4.2,250,80,0,20,0,0,0,0.0,1
20.0,15.0,0,4.7,532,0,0,0,0,53,35,12.0,0
50.0,25.99,1,4.3,414,41,0,11,48,0,0,0.0,1
38.0,21.89,1,4.3,382,86,0,14,0,0,0,0.0,1
33.0,26.02,0,4.0,95,72,0,0,0,0,0,28.0,0
